# TinyMPC OnlineRelin FlatTemplate AnalyticTemplate
3.459396484444113851e-01 3.459067579265753256e-01 3.462379953399241095e-01 3.462403062896060035e-01
3.439048439714065264e-01 3.440037109795738846e-01 3.457029112146910443e-01 3.457253784172656941e-01
3.396396770057839021e-01 3.403379348540863658e-01 3.447543826733658889e-01 3.448487801183307000e-01
3.329520832375859607e-01 3.350804207216233066e-01 3.433314738368116736e-01 3.435899741153248810e-01
3.236170797143715361e-01 3.285280600162642783e-01 3.413848218376225319e-01 3.419337813458822040e-01
3.118357589724972123e-01 3.209826352747042755e-01 3.388820643686435430e-01 3.398709111473107725e-01
2.981703457623682274e-01 3.126862205131222261e-01 3.358075445031519779e-01 3.373972483177115067e-01
2.831565269873999591e-01 3.038235281304843549e-01 3.321603823432253688e-01 3.345131920585219798e-01
2.674877630511426907e-01 2.945347583578895034e-01 3.279522756988353382e-01 3.312231736626418677e-01
2.519323886355293585e-01 2.849288042206246652e-01 3.232054051002491990e-01 3.275352951091159981e-01
2.369256968784113626e-01 2.750936690758723491e-01 3.179505070117119581e-01 3.234610264792187051e-01
2.226276957857296623e-01 2.651037006338265445e-01 3.122251067718625483e-01 3.190149213791976246e-01
2.090618110361325277e-01 2.550241656118603650e-01 3.060719006291853228e-01 3.142143283849315738e-01
1.961927135371874797e-01 2.449138900817718345e-01 2.995372842927894186e-01 3.090790894916758402e-01
1.839671683858909168e-01 2.348266198217016654e-01 2.926700314423655858e-01 3.036312246040714924e-01
1.723333998253129273e-01 2.248116077315872041e-01 2.855201267597294312e-01 2.978946056322153702e-01
1.612486920676757807e-01 2.149137897999096602e-01 2.781377551591421859e-01 2.918946259192796155e-01
1.506809610663329413e-01 2.051737828059885804e-01 2.705724444670328799e-01 2.856578713627331845e-01
1.406075382517212036e-01 1.956278430683963954e-01 2.628723547986787090e-01 2.792117993034938794e-01
1.310129278950686593e-01 1.863078564958638994e-01 2.550837043766209788e-01 2.725844304569159937e-01
1.218864379123234948e-01 1.772414065532138261e-01 2.472503191045324067e-01 2.658040581216511988e-01
1.132201001254897477e-01 1.684519056192177455e-01 2.394132920001271481e-01 2.588989778048776946e-01
1.050070324070010580e-01 1.599587637506446614e-01 2.316107381987618230e-01 2.518972393542849852e-01
9.724025735048569263e-02 1.517776024718742178e-01 2.238776315082397217e-01 2.448264227501434354e-01
8.991192724274237047e-02 1.439205015212903505e-01 2.162457097623451951e-01 2.377134379142396836e-01
8.301288189081949820e-02 1.363962633943566760e-01 2.087434371429067459e-01 2.305843482448781956e-01
7.653246197993819611e-02 1.292106830249803995e-01 2.013960133775745676e-01 2.234642170838840869e-01
7.045850615499243963e-02 1.223668140048646130e-01 1.942254206784636839e-01 2.163769759505176915e-01
6.477747135549266622e-02 1.158652256425368177e-01 1.872505005842565462e-01 2.093453131227649977e-01
