# TinyMPC OnlineRelin FlatTemplate AnalyticTemplate
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.138323318747959734e-04 4.146664819268461983e-04 4.301347624885737300e-04 4.302526730974486546e-04
1.597694024416796039e-03 1.601075920795582992e-03 1.675420826436581009e-03 1.676631840992688725e-03
3.437131576545150551e-03 3.443512276187908616e-03 3.645775492212910592e-03 3.651349906917796418e-03
5.818416016730343539e-03 5.825278448982158450e-03 6.250030124412560284e-03 6.266716820780923562e-03
8.631610871542518340e-03 8.633653500541824816e-03 9.396296764737003052e-03 9.434615701189372552e-03
1.177479677102367256e-02 1.176553159499753483e-02 1.299394109922307958e-02 1.306771794398656379e-02
1.515724028939281071e-02 1.513095921055933324e-02 1.695586298269925393e-02 1.708129896991379681e-02
1.870108527186731956e-02 1.865439717670204847e-02 2.120048517585689310e-02 2.139502420867265414e-02
2.234173357083706415e-02 2.227430485255436216e-02 2.565321622873797253e-02 2.593440506821965627e-02
2.602724443614564537e-02 2.594173444319674768e-02 3.024734268200761356e-02 3.063181444796901978e-02
2.971708102953450614e-02 2.961847714718621530e-02 3.492439880670267921e-02 3.542705507903396583e-02
3.338048627139056368e-02 3.327512648684351898e-02 3.963410144135369462e-02 4.026752607146242419e-02
3.699472719085560024e-02 3.688927447578107394e-02 4.433394864386829698e-02 4.510805579452223379e-02
4.054337282458334718e-02 4.044392572167504474e-02 4.898857838818004157e-02 4.991047618282561105e-02
4.401471825158148610e-02 4.392616843843274305e-02 5.356897490969694114e-02 5.464301232862275870e-02
4.740042555699063020e-02 4.732610440842818789e-02 5.805159929167524879e-02 5.927955562743267293e-02
5.069440986238873265e-02 5.063599909249048847e-02 6.241750507552248917e-02 6.379888060622157520e-02
5.389197001004680104e-02 5.384962081451598326e-02 6.665148765557786514e-02 6.818385582154305735e-02
5.698914091414987448e-02 5.696173931924505829e-02 7.074130677933791744e-02 7.242068856913944086e-02
5.998223507884502953e-02 5.996775393719007419e-02 7.467700323844185528e-02 7.649823230290202225e-02
6.286753656729612838e-02 6.286342457222046654e-02 7.845031852826396535e-02 8.040737534463851532e-02
6.564111212747721080e-02 6.564468313402928301e-02 8.205422014559961286e-02 8.414052032809889170e-02
6.829870889644272525e-02 6.830750672551640090e-02 8.548252762522604020e-02 8.769115633781449093e-02
7.083571421558075565e-02 7.084783758055193670e-02 8.872962978676558754e-02 9.105352011829254133e-02
7.324715931218414577e-02 7.326153877951034621e-02 9.179028136350453337e-02 9.422233904763993584e-02
7.552775417079624076e-02 7.554437766602814519e-02 9.465946660008517366e-02 9.719264660264280431e-02
7.767194546762090646e-02 7.769203146340079857e-02 9.733231844602255323e-02 9.995966047264197296e-02
7.967399288568462190e-02 7.970011175520885782e-02 9.980408322127813647e-02 1.025187139326707436e-01
8.152806154167829833e-02 8.156420621484587741e-02 1.020701223495208143e-01 1.048652321893149136e-01
8.322832978525865344e-02 8.327993723878539256e-02 1.041259450727860941e-01 1.069947468349245201e-01
8.476911244157896153e-02 8.484303795955923377e-02 1.059672677279447084e-01 1.089029430202985704e-01
8.614499980545968494e-02 8.624944648483236220e-02 1.075900965720881647e-01 1.105857352857012171e-01
8.735101247966195470e-02 8.749541912431120505e-02 1.089908321624261101e-01 1.120393690431069900e-01
8.838277156968031567e-02 8.857766282380066802e-02 1.101663938752565769e-01 1.132605454019057767e-01
8.923668286967224861e-02 8.949348603226008059e-02 1.111143632905065848e-01 1.142465673419207350e-01
8.991013255092339396e-02 9.024096581013403562e-02 1.118331449003072964e-01 1.149955051595570460e-01
9.040169054357398426e-02 9.081912720485044166e-02 1.123221419639683361e-01 1.155063786666148257e-01
9.071131633672552264e-02 9.122812887536367599e-02 1.125819443798341257e-01 1.157793528455276638e-01
9.084056037610226120e-02 9.146944679691661195e-02 1.126145242380819783e-01 1.158159426122070262e-01
9.079275269442853291e-02 9.154604582742198460e-02 1.124234333281195208e-01 1.156192210732757825e-01
9.057316897114284227e-02 9.146252721943895492e-02 1.120139953811984113e-01 1.151940242654092839e-01
9.018916301091589593e-02 9.122523909136716347e-02 1.113934843268425817e-01 1.145471439203784719e-01
8.965025380130715871e-02 9.084233669481994733e-02 1.105712784378847097e-01 1.136874984127180938e-01
8.896815502123545105e-02 9.032378025177439929e-02 1.095589790543512881e-01 1.126262708330958429e-01
8.815673529326517599e-02 8.968126031730090653e-02 1.083704817451666552e-01 1.113770022168412560e-01
8.723189876748375926e-02 8.892804406225349179e-02 1.070219874333239729e-01 1.099556274812369810e-01
8.621137793237632074e-02 8.807874043374540329e-02 1.055319413258637984e-01 1.083804417313635748e-01
8.511443396117440718e-02 8.714898756275731018e-02 1.039208886055773690e-01 1.066719854283767338e-01
8.396146443939246640e-02 8.615507164133838491e-02 1.022112378975797986e-01 1.048528386156921954e-01
8.277352389643397035e-02 8.511349228191593397e-02 1.004275011323999406e-01 1.029483102676817530e-01
7.213254549304271013e-02 7.455134430385459976e-02 8.925650881832779271e-02 9.165749147943040576e-02
6.186163313565121169e-02 6.424721666905193473e-02 7.850720460568437475e-02 8.084816046913612109e-02
5.218922200783925741e-02 5.435332564917233489e-02 6.836874066078231504e-02 7.072585784418876365e-02
4.338511321396375242e-02 4.504696115063935857e-02 5.900141685415306175e-02 6.143431678000600693e-02
3.572807430450252592e-02 3.650438753573947287e-02 5.052414629626726661e-02 5.306094988262354678e-02
2.947848421412050529e-02 2.889078577156102209e-02 4.300570689617133624e-02 4.564387522239796852e-02
2.483174511623866335e-02 2.237384897459360547e-02 3.646836733465770586e-02 3.917953422299094018e-02
2.182755758554605699e-02 1.716185822995044269e-02 3.089345236481936402e-02 3.363083840183771905e-02
2.025508593835393875e-02 1.353930575980271528e-02 2.622778741340990247e-02 2.893577383128442815e-02
1.968266531482802326e-02 1.176137220600240174e-02 2.239177291678593265e-02 2.501628694615650947e-02
1.963485665316279383e-02 1.167655715825391578e-02 1.928964375914503718e-02 2.178712857365790873e-02
1.974901260047024279e-02 1.262769752355027628e-02 1.682434849838625873e-02 1.916411751696287663e-02
1.981202985204185210e-02 1.395088955214002398e-02 1.490068896045441960e-02 1.707102013382271258e-02
1.972516854566062558e-02 1.526025737244825556e-02 1.343352937767100519e-02 1.544404930117219618e-02
1.945829686442770295e-02 1.638517464217054478e-02 1.236423739724246476e-02 1.423306563116988159e-02
1.901620626498919109e-02 1.726639202928124950e-02 1.165695156408174012e-02 1.339913041626202006e-02
1.841826331836117492e-02 1.789600497570307397e-02 1.128789068513280300e-02 1.290920463237164861e-02
1.768748515602960522e-02 1.828826333374927726e-02 1.123288256434873573e-02 1.273014784352136802e-02
1.684537441344446246e-02 1.846562459903682007e-02 1.145870954287603674e-02 1.282471574701999316e-02
1.590999907211410741e-02 1.845207638320680091e-02 1.192179717814150983e-02 1.315110349793412008e-02
1.489575279445606686e-02 1.827005863571488573e-02 1.257289732088144596e-02 1.366541094138991330e-02
1.381388042731851798e-02 1.793924214107614143e-02 1.336339654338101340e-02 1.432505493860805959e-02
1.267326249734953593e-02 1.747627371561446402e-02 1.424987030770422970e-02 1.509144223911655473e-02
1.148120570139046955e-02 1.689500830848399485e-02 1.519604769035831290e-02 1.593129919356029572e-02
1.024413864991105712e-02 1.620695898692716200e-02 1.617363188896864951e-02 1.681686958685690500e-02
8.968210538107104779e-03 1.542181308241091786e-02 1.716043421574889663e-02 1.772544937703406792e-02
7.659878588174299369e-03 1.454793712933083981e-02 1.813831243572852289e-02 1.863865193809195048e-02
6.326725370539939934e-03 1.359284155842935791e-02 1.909331178902523921e-02 1.954163983511583713e-02
4.979221755878071760e-03 1.256361048717257248e-02 2.001477207226416699e-02 2.042243359022193755e-02
3.636156244745219947e-03 1.146733320976773066e-02 2.089454346391779807e-02 2.127133395403778965e-02
2.348051962385430333e-03 1.031161482724927275e-02 2.172636031311349358e-02 2.208045833297512042e-02
1.345782650508525963e-03 9.105327958826516313e-03 2.250536032893327501e-02 2.284337784195193330e-02
1.483776448687912364e-03 7.859968651471293741e-03 2.322772667288246565e-02 2.355483781769999313e-02
2.591293033871490837e-03 6.592520368766355277e-03 2.389183693924221141e-02 2.421054542716530658e-02
3.914808094486409672e-03 5.332346496227943246e-03 2.449552640890457697e-02 2.480701029249678807e-02
5.287423552500961077e-03 4.139742271291177965e-03 2.503492287932383015e-02 2.534142656076922642e-02
6.669469228397926358e-03 3.157330110021935431e-03 2.550737980930046014e-02 2.581158710405845672e-02
8.045493927779052284e-03 2.697603465134491493e-03 2.591127670667875069e-02 2.621582242178705988e-02
9.406999164515726652e-03 3.059648162158769367e-03 2.624575932131255687e-02 2.655295834404115124e-02
1.074821312023786432e-02 4.058125225504869218e-03 2.651055707269512479e-02 2.682228785471262728e-02
1.206474573884216105e-02 5.365689040987688813e-03 2.670679275375488493e-02 2.702355332413124839e-02
1.335308447448742795e-02 6.816658332860560908e-03 2.683528696211538722e-02 2.715693621202939709e-02
1.461038722384428584e-02 8.341593786536607991e-03 2.689583782626608910e-02 2.722305191297639398e-02
1.583439569151433995e-02 9.908070263884096590e-03 2.688906282120042540e-02 2.722294789872448453e-02
1.702340233818155218e-02 1.149840688550228182e-02 2.681748484985255546e-02 2.715810368912762937e-02
1.817624223615123963e-02 1.310151540378242524e-02 2.668337725568913771e-02 2.703043147405322782e-02
1.929229596262431456e-02 1.470962872638221196e-02 2.648779891920223506e-02 2.684227642766846486e-02
2.037149588371255093e-02 1.631685210635021657e-02 2.623280731533750645e-02 2.659641591526380050e-02
2.141433093660726275e-02 1.791846320605842285e-02 2.592133862278717116e-02 2.629605690057248285e-02
2.242184626322309485e-02 1.951054635798101650e-02 2.555705476763000389e-02 2.594483092554700221e-02
2.339563461130484204e-02 2.108978552360363246e-02 2.514422977895392972e-02 2.554678606026603710e-02
2.433781668419163213e-02 2.265333535280754373e-02 2.469055895902840664e-02 2.510637521218120685e-02
2.525100779442956273e-02 2.419873057648163489e-02 2.420189094448613534e-02 2.462844014438064083e-02
2.613826838904698482e-02 2.572381287462587388e-02 2.368015813029066691e-02 2.411819048465221535e-02
2.700303636004306937e-02 2.722666377215889749e-02 2.312888350095231027e-02 2.358117691415228395e-02
2.784903960539921244e-02 2.870553718252649711e-02 2.255294991974214625e-02 2.302325761186507780e-02
2.868018811519538677e-02 3.015878822386728469e-02 2.195827386958707286e-02 2.245055690876163190e-02
2.950044594728455302e-02 3.158479693189511495e-02 2.135153508348881096e-02 2.186941499151310100e-02
3.031368481227462650e-02 3.298188699293664455e-02 2.073996045583064232e-02 2.128632741982402696e-02
3.112352266877617749e-02 3.434824085684781703e-02 2.013114441956471642e-02 2.070787323048418199e-02
3.193315319324310786e-02 3.568181366059115095e-02 1.953386526569708334e-02 2.014063056138418878e-02
3.274516979777692544e-02 3.698024931945948640e-02 1.895515329989695685e-02 1.959107912472574445e-02
3.356139262314804944e-02 3.824080290077615935e-02 1.840037860003968656e-02 1.906548958407704511e-02
3.438271038268749663e-02 3.946027393802654937e-02 1.787561088538149739e-02 1.856980102430124194e-02
3.520894447249894865e-02 4.063495561838137426e-02 1.738722162707821012e-02 1.810948927339760262e-02
3.603874362026202732e-02 4.176060473605527207e-02 1.694147840552205977e-02 1.768943076370205897e-02
3.686951679798482207e-02 4.283243691719480079e-02 1.654417888874778683e-02 1.731376867701702252e-02
3.769741055426372583e-02 4.384515088276721290e-02 1.620032291743517261e-02 1.698578990399082778e-02
3.851733485043772748e-02 4.479298444634456644e-02 1.591382576329483309e-02 1.670782233829528132e-02
3.932303916387386994e-02 4.566980359391790978e-02 1.568728403052143533e-02 1.648116170435107858e-02
4.010723844771538205e-02 4.646922443659129431e-02 1.552181009946944877e-02 1.630603517308589975e-02
4.086178760610095079e-02 4.718476615370546801e-02 1.541695066721591491e-02 1.618160554259909234e-02
4.157789445788157706e-02 4.781003134971671675e-02 1.537069704168803411e-02 1.610601532135306352e-02
4.224636560501106308e-02 4.833890862671856581e-02 1.537905390325513232e-02 1.607646559673373693e-02
4.285788221971004175e-02 4.876579071024865486e-02 1.543702193622451674e-02 1.608932113198063146e-02
4.340329287007589631e-02 4.908580023024371880e-02 1.553934873265828791e-02 1.614023146848984902e-02
4.387391170784007283e-02 4.929501430924629335e-02 1.567973372363587470e-02 1.622425814960443829e-02
4.426181037847418120e-02 4.939067849201954352e-02 1.585112217051400096e-02 1.633600019008555823e-02
4.456009135407689586e-02 4.937140030145064501e-02 1.604600869089758963e-02 1.646971286415235478e-02
4.476313215043659782e-02 4.923731284960784077e-02 1.625669300277871043e-02 1.661941794021729382e-02
4.486678834319602488e-02 4.899019946748621457e-02 1.647548138763749517e-02 1.677900597403081048e-02
4.486854352914881883e-02 4.863357141608433409e-02 1.669447621325938561e-02 1.694233280875272543e-02
4.476759895924527916e-02 4.817269217589097846e-02 1.690599035480966350e-02 1.710331296261601713e-02
4.456489654213654367e-02 4.761454352019930253e-02 1.710321465522084486e-02 1.725601229299814077e-02
4.426307203765148662e-02 4.696773076665415603e-02 1.728008502710712962e-02 1.739474151334634636e-02
4.386633922655148315e-02 4.624232702363197112e-02 1.743125033428963994e-02 1.751415112748577751e-02
4.338030899142521213e-02 4.544965880060871516e-02 1.755202351057571705e-02 1.760932740101138830e-02
4.281175108375917526e-02 4.460203792617278840e-02 1.763835989226955267e-02 1.767588828939388457e-02
4.216830991927323496e-02 4.371244709323795358e-02 1.768686348892823876e-02 1.771007787133594899e-02
4.145818878768726956e-02 4.279418783963476192e-02 1.769481753782698244e-02 1.770885779730335674e-02
4.068981928512874213e-02 4.186050532548021147e-02 1.766023508774162976e-02 1.766999450075103228e-02
3.987153297178365474e-02 4.092420396214248302e-02 1.758032666674571795e-02 1.759214133698506002e-02
3.901125314058157684e-02 3.999726621910632690e-02 1.745434335077314381e-02 1.747491529091382834e-02
3.811622391208335098e-02 3.909049166939030512e-02 1.728510471004636451e-02 1.731896829210474373e-02
3.719279007246213686e-02 3.821317370391111301e-02 1.707609302978084498e-02 1.712605333902670474e-02
3.624623766769285993e-02 3.737283063264919269e-02 1.683147849296482909e-02 1.689908538670483601e-02
